"","Data","Trend","Seasonal4.35","Remainder"
"1",120,556.970022418776,-149.937688653245,-287.032333765531
"2",926,706.501369067348,64.0677207470989,155.430910185553
"3",1011,845.513395996148,33.9770971016631,131.509506902189
"4",1187,979.967375026551,43.2823453401237,163.750279633325
"5",1116,1093.0766172911,-139.937096364707,162.860479073607
"6",897,1165.27997043092,74.901455859022,-343.181426289938
"7",1278,1233.58768873821,19.3530683219451,25.0592429398464
"8",1433,1312.44173542213,35.6183210182695,84.9399435595992
"9",1362,1395.35768807778,-129.222760104468,95.8650720266862
"10",1532,1411.95602520285,86.2090330189195,33.834941778232
"11",1555,1370.78601519028,4.92071968786255,179.293265121861
"12",1179,1304.64706102968,27.9108036790614,-153.557864708738
"13",1152,1235.34646195432,-119.986055239256,36.6395932849323
"14",1156,1167.24228602166,100.45300699677,-111.695293018426
"15",1226,1126.198545217,-10.7276829059404,110.529137688939
"16",1063,1053.25367918203,20.1906803654872,-10.4443595475122
"17",879,940.16567358953,-110.801446404557,49.6357728150274
"18",1372,824.44833943333,114.851827122207,432.699833444463
"19",281,704.20946905817,-26.020869904733,-397.188599153437
