"","Data","Trend","Seasonal4.35","Remainder"
"1",667,3418.09446807136,366.595648357751,-3117.69011642911
"2",5923,4233.5589964046,-558.163768274371,2247.60477186977
"3",5758,4992.42402197649,-1767.12891802505,2532.70489604856
"4",6844,5734.86384512761,1923.01873165588,-813.882576783485
"5",6470,6125.10472509866,652.380784612028,-307.485509710693
"6",6635,5521.74090591945,-752.239176236279,1865.49827031683
"7",4223,5171.892938735,-2130.23589317989,1181.34295444489
"8",3639,5330.93154908506,2209.87743287013,-3901.8089819552
"9",5504,5909.98860265492,933.25578886678,-1339.2443915217
"10",5742,6679.152145777,-952.542199319718,15.3900535427138
"11",9387,7625.30344771938,-2499.31196422323,4261.00851650385
"12",9847,8517.88739427223,2493.45967821446,-1164.34707248669
"13",8728,9586.96570363049,1235.54056692447,-2094.50627055496
"14",7620,11427.4400222965,-1136.60771777433,-2670.83230452213
"15",9563,13727.6906579266,-2855.69190774505,-1308.9987501816
"16",23343,13740.9426664179,2689.29397824947,6912.76335533267
"17",23017,13296.7707253115,1557.93313626873,8162.29613841978
"18",10736,12723.8786998961,-1302.63020005091,-685.248499845155
"19",1728,11762.2647623002,-3196.84966189543,-6837.41510040476
