"","Data","Trend","Seasonal4.35","Seasonal52.18","Remainder"
"1",361,260.336532451865,11.914481654983,-7.42606404889665,96.1750499420487
"2",400,258.420524755753,2.84993274271721,10.0042620247332,128.725280476797
"3",338,256.504517059641,-6.75133322617738,14.0937329006043,74.153083265932
"4",289,254.588509363529,-7.72439602887376,-5.26803247351282,47.4039191388575
"5",343,252.672501667417,11.5706780661822,-2.18263073281811,80.9394509992188
"6",242,250.756493971305,2.75600859023938,-15.7935714642706,4.28106890272605
"7",259,248.840486275193,-6.71461585523428,7.49126987074884,9.38285970929226
"8",228,246.924478579081,-7.30689043622289,22.5535936235049,-34.1711817663632
"9",239,245.008470882969,11.2320489961723,12.3353012556095,-29.575821134751
"10",197,243.092463186857,2.69289175647489,17.0264193278297,-65.8117742711619
"11",173,241.250602912129,-6.61218372115191,1.18270787633727,-62.8211270673145
"12",215,239.408742637401,-6.79974274182547,5.34725457465624,-22.9562544702318
"13",238,237.566882362673,10.6538500724416,4.41480031066756,-14.6355327457821
"14",246,235.725022087945,2.13847192446818,-9.28993769010301,17.42644367769
"15",234,233.883161813217,-6.55274808580581,4.75739271752386,1.91219355506524
"16",223,232.041301538489,-5.3457510937866,-9.71929403825384,6.02374359355184
"17",161,230.19944126376,9.99534299410865,-17.2145448703733,-61.9802393874958
"18",216,228.357580989032,1.60682547918605,11.2754501268555,-25.2398565950739
"19",161,226.515720714304,-6.35121180536681,-15.728307799305,-43.4362011096325
"20",131,224.676116210589,-3.6977045463674,-14.2598017838089,-75.7186098804125
"21",192,222.836511706873,6.84512884237976,7.94636376161172,-45.6280043108649
"22",75,220.996907203158,2.27171337971421,-23.2714590143278,-124.997161568544
"23",175,219.157302699443,-5.01773000507359,-11.9207215125248,-27.2188511818442
"24",189,217.317698195727,-2.22314907137378,11.4940120970338,-37.5885612213872
"25",220,215.478093692012,3.42844403040589,24.7022680282407,-23.6088057506583
"26",244,213.638489188296,2.63991249694165,3.41679063130587,24.3048076834562
