"","Data","Trend","Seasonal4.35","Remainder"
"1",0,3078.94753829502,283.483980477857,-3362.43151877288
"2",5882,3991.33976929599,-518.199489891068,2408.85972059508
"3",5758,4839.72071169134,-1740.32057558362,2658.59986389228
"4",6844,5667.73883258816,1935.63143559532,-759.370268183477
"5",6470,6120.07495061821,579.212071705146,-229.287022323355
"6",6635,5522.62929012753,-717.387350849849,1829.75806072232
"7",4223,5175.38561549615,-2107.10234182053,1154.71672632438
"8",3639,5329.63416773334,2220.75035296406,-3911.3845206974
"9",5504,5907.13924966235,870.345062763406,-1273.48431242576
"10",5742,6679.96092672491,-922.56611808663,-15.3948086382779
"11",9387,7628.3233873632,-2479.70172706025,4238.37833969704
"12",9847,8516.7955123767,2502.67891702139,-1172.47442939808
"13",8728,9584.58376962303,1181.96686901918,-2038.55063864221
"14",7620,11428.1512159392,-1111.02474769312,-2697.12646824608
"15",9563,13730.1753047951,-2839.2734546296,-1327.90185016555
"16",23343,13740.7229717351,2696.98866344172,6905.28836482318
"17",23017,13293.9558161232,1513.64200635309,8209.40217752367
"18",10736,12719.4129723238,-1281.38010087954,-702.032871444215
"19",1728,11756.0037797479,-3183.44378062716,-6844.55999912073
