"","Data","Trend","Seasonal4.35","Remainder"
"1",144,292.893422809154,-31.1084429289808,-117.784979880174
"2",582,380.620658497039,158.543418685851,42.8359228171097
"3",559,463.872920215858,-5.20767099415188,100.334750778293
"4",468,545.4899073131,-129.268931902563,51.7790245894628
"5",615,616.969224371773,-18.2049562209235,16.2357318491509
"6",759,640.214566974944,165.109657064438,-46.3242240393821
"7",741,660.243962099818,-26.4247337117792,107.180771611961
"8",470,716.036790925442,-128.9264341357,-117.110356789742
"9",650,804.39948157556,-4.63826650761606,-149.761215067944
"10",1084,886.490152820483,172.047407992921,25.4624391865956
"11",1151,942.102017752761,-47.6043680921525,256.502350339391
"12",906,956.46434403174,-128.81390563289,78.3495616011498
"13",969,954.16634708823,8.68191411604969,6.15173879572023
"14",764,961.092501457221,181.541717899728,-378.63421935695
"15",1019,1021.01774410939,-70.4860813231864,68.4683372137988
"16",956,1062.75254095977,-128.718938876611,21.9663979168452
"17",1391,1054.8467975151,22.078298001917,314.074904482987
"18",1699,1047.68245370192,191.394411159862,459.92313513822
"19",365,1031.57354322805,-92.7480507227649,-573.825492505285
